time                 x                    y                    z                    total               
0.000000             0.000000             0.000000             0.000000             0.000000            
100000.000000        119.573897           125.663011           119.952206           365.189114          
200000.000000        233.929957           260.527487           245.246324           739.703768          
300000.000000        343.634113           403.126736           373.140150           1119.900999         
400000.000000        455.805249           535.342837           500.031686           1491.179772         
500000.000000        563.638031           667.980927           634.399379           1866.018338         
600000.000000        665.667375           796.651776           769.087490           2231.406641         
700000.000000        773.108526           932.445291           902.657772           2608.211589         
800000.000000        873.706472           1077.361169          1035.258167          2986.325808         
900000.000000        978.921399           1233.329773          1169.997399          3382.248572         
1000000.000000       1087.545277          1392.594199          1299.717843          3779.857318         
1100000.000000       1194.501268          1540.250987          1433.155262          4167.907517         
1200000.000000       1295.579438          1691.611876          1568.079393          4555.270708         
1300000.000000       1403.765717          1854.413498          1696.346881          4954.526095         
1400000.000000       1504.356004          2012.448736          1810.019830          5326.824570         
1500000.000000       1602.862977          2172.543434          1919.604959          5695.011369         
1600000.000000       1697.614836          2333.095219          2031.877125          6062.587179         
1700000.000000       1788.742670          2494.941266          2136.703833          6420.387769         
1800000.000000       1878.017804          2662.178045          2225.127253          6765.323102         
1900000.000000       1983.232004          2838.079061          2314.238130          7135.549195         
2000000.000000       2072.844486          3022.424437          2396.226088          7491.495012         
2100000.000000       2162.745956          3212.053409          2476.685572          7851.484937         
2200000.000000       2256.691188          3392.533831          2549.440657          8198.665676         
2300000.000000       2348.835398          3575.626488          2618.823196          8543.285083         
2400000.000000       2432.286666          3758.928378          2682.397153          8873.612197         
2500000.000000       2506.953446          3947.099145          2742.767588          9196.820179         
2600000.000000       2569.771716          4134.940286          2794.606586          9499.318589         
2700000.000000       2628.526833          4335.124590          2855.765386          9819.416808         
2800000.000000       2691.118826          4534.255773          2914.628284          10140.002884        
2900000.000000       2759.567627          4730.077441          2976.581810          10466.226877        
3000000.000000       2838.252085          4940.442345          3030.201166          10808.895597        
3100000.000000       2938.749638          5158.718823          3090.388344          11187.856805        
3200000.000000       3024.453457          5363.628666          3145.858420          11533.940543        
3300000.000000       3106.217367          5557.561223          3203.049629          11866.828219        
3400000.000000       3193.704670          5733.427487          3269.026974          12196.159131        
3500000.000000       3289.635223          5890.941811          3341.061587          12521.638621        
3600000.000000       3392.089132          6050.592517          3418.585255          12861.266903        
3700000.000000       3507.182631          6202.663206          3494.763657          13204.609495        
3800000.000000       3623.357269          6377.535739          3583.109742          13584.002750        
3900000.000000       3737.258272          6558.595179          3677.277872          13973.131323        
4000000.000000       3855.248927          6739.527254          3782.481777          14377.257958        
4100000.000000       3980.962316          6894.950206          3899.403060          14775.315583        
4200000.000000       4104.111980          7064.275945          4033.640935          15202.028860        
4300000.000000       4241.725248          7223.076727          4167.195078          15631.997054        
4400000.000000       4383.665214          7381.237775          4292.837387          16057.740377        
4500000.000000       4523.467769          7553.994785          4414.149558          16491.612112        
4600000.000000       4654.409466          7709.435918          4555.021851          16918.867234        
4700000.000000       4763.179523          7882.965464          4688.268373          17334.413360        
4800000.000000       4858.316243          8047.672930          4818.972992          17724.962166        
4900000.000000       4948.888829          8210.030862          4941.981199          18100.900890        
5000000.000000       5038.744277          8384.700734          5058.514948          18481.959960        
5100000.000000       5113.131906          8562.460657          5176.884588          18852.477150        
5200000.000000       5191.065820          8743.993427          5301.226792          19236.286039        
5300000.000000       5275.033435          8896.285802          5451.650456          19622.969692        
5400000.000000       5374.115792          9066.303875          5590.046217          20030.465884        
5500000.000000       5465.498401          9257.795737          5724.212956          20447.507093        
5600000.000000       5538.115233          9438.990465          5839.875320          20816.981018        
5700000.000000       5638.609491          9625.933781          5956.852448          21221.395720        
5800000.000000       5727.098352          9810.989391          6077.238222          21615.325965        
5900000.000000       5834.106785          9971.964652          6205.000744          22011.072181        
6000000.000000       5924.197130          10165.401528         6322.874534          22412.473192        
6100000.000000       6018.150468          10376.550320         6453.809317          22848.510105        
6200000.000000       6103.541966          10607.936159         6583.025133          23294.503258        
6300000.000000       6196.525655          10861.467154         6707.987429          23765.980237        
6400000.000000       6281.364258          11130.984600         6841.055337          24253.404195        
6500000.000000       6335.498812          11380.667524         6967.812083          24683.978419        
6600000.000000       6385.135826          11645.934459         7097.671935          25128.742220        
6700000.000000       6467.535466          11894.720566         7282.583441          25644.839473        
6800000.000000       6543.699154          12123.868823         7474.859149          26142.427126        
6900000.000000       6640.777681          12353.592095         7675.462131          26669.831907        
7000000.000000       6745.719585          12516.463616         7891.150334          27153.333535        
7100000.000000       6836.266643          12683.994963         8092.498242          27612.759848        
7200000.000000       6940.587879          12863.921509         8299.895915          28104.405304        
7300000.000000       7053.597223          13074.752483         8450.900023          28579.249728        
7400000.000000       7156.368420          13303.090737         8631.048296          29090.507453        
7500000.000000       7280.345758          13551.397455         8823.306320          29655.049534        
7600000.000000       7431.819370          13805.114360         8989.263550          30226.197281        
7700000.000000       7596.345832          14042.573730         9182.864899          30821.784460        
7800000.000000       7751.029471          14311.020496         9353.105299          31415.155266        
7900000.000000       7905.464443          14534.744263         9516.279909          31956.488616        
8000000.000000       8055.620401          14817.946769         9743.876064          32617.443233        
8100000.000000       8156.483494          15107.297820         10027.549741         33291.331055        
8200000.000000       8241.307639          15340.452425         10404.773062         33986.533126        
8300000.000000       8336.871188          15524.835163         10783.786842         34645.493193        
8400000.000000       8378.061632          15712.824978         11043.936502         35134.823112        
8500000.000000       8410.831788          15864.232532         11227.261543         35502.325863        
8600000.000000       8394.787516          16012.847681         11428.810048         35836.445245        
8700000.000000       8339.524344          16072.557876         11672.758742         36084.840962        
8800000.000000       8216.762334          16114.231134         11945.634008         36276.627476        
8900000.000000       8184.907763          16274.498279         12192.716243         36652.122285        
9000000.000000       8179.539329          16368.767546         12512.743742         37061.050617        
9100000.000000       8148.066151          16370.433032         12876.927530         37395.426714        
9200000.000000       8064.211802          16433.717221         13270.048365         37767.977388        
9300000.000000       8042.008179          16598.831796         13521.303551         38162.143525        
9400000.000000       8051.206492          16712.171199         13860.567890         38623.945582        
9500000.000000       7786.633366          16744.320512         14187.454116         38718.407994        
9600000.000000       7492.528587          16563.502799         14657.836203         38713.867589        
9700000.000000       7437.974562          16712.712550         15373.324741         39524.011852        
9800000.000000       7237.892785          16860.113553         16082.515198         40180.521536        
9900000.000000       7382.857660          16848.309724         16568.999743         40800.167127        
10000000.000000      7915.429350          17037.774360         16784.908807         41738.112517        
