     1: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
     2: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
     3: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
     4: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
     5: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
     6: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
     7: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
     8: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
     9: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    10: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    11: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    12: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    13: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    14: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    15: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    16: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    17: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    18: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    19: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    20: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    21: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    22: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    23: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    24: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    25: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    26: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    27: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    28: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    29: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    30: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    31: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    32: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    33: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    34: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    35: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    36: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    37: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    38: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    39: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    40: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    41: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    42: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    43: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    44: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    45: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    46: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    47: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    48: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    49: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    50: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    51: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    52: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    53: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    54: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    55: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    56: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    57: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    58: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    59: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    60: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
